machine,limits,benchmark,base_result,lower_is_better,result
issdm-6,with,blogbench_writes,451,False,41
issdm-6,with,blogbench_reads,281330,False,6746
t2.micro,with,blogbench_writes,451,False,334
t2.micro,with,blogbench_reads,281330,False,24659
issdm-6,with,compilebench_intial_create,24.43,False,5.10
issdm-6,with,compilebench_create,20.14,False,4.33
issdm-6,with,compilebench_patch,8.02,False,6.96
issdm-6,with,compilebench_compile,110.99,False,16.46
issdm-6,with,compilebench_clean,914.11,False,83.87
issdm-6,with,compilebench_read_tree,22.75,False,7.70
issdm-6,with,compilebench_read_compiled_tree,61.44,False,22.67
issdm-6,with,compilebench_delete_tree,5.23,True,30.39
issdm-6,with,compilebench_stat_tree,3.20,True,17.11
issdm-6,with,compilebench_stat_compiled_tree,3.58,True,18.40
t2.micro,with,compilebench_intial_create,24.43,False,47.58
t2.micro,with,compilebench_create,20.14,False,47.42
t2.micro,with,compilebench_patch,8.02,False,34.64
t2.micro,with,compilebench_compile,110.99,False,61.85
t2.micro,with,compilebench_clean,914.11,False,5061.17
t2.micro,with,compilebench_read_tree,22.75,False,54.62
t2.micro,with,compilebench_read_compiled_tree,61.44,False,56.15
t2.micro,with,compilebench_delete_tree,5.23,True,1.36
t2.micro,with,compilebench_stat_tree,3.20,True,0.87
t2.micro,with,compilebench_stat_compiled_tree,3.58,True,0.89
issdm-6,with,fhourstones_8_1,1258.4,False,4299.7
issdm-6,with,fhourstones_8_2,1121.7,False,4418.0
issdm-6,with,fhourstones_8_3,1156.7,False,4512.8
issdm-6,with,fhourstones_0,1151.5,False,4543.4
t2.micro,with,fhourstones_8_1,1258.4,False,8599.3
t2.micro,with,fhourstones_8_2,1121.7,False,6995.8
t2.micro,with,fhourstones_8_3,1156.7,False,6929.3
t2.micro,with,fhourstones_0,1151.5,False,7253.9
issdm-6,with,himeno,6.551732,False,8.416859
t2.micro,with,himeno,6.551732,False,357.749314
issdm-6,with,interbench_audio_none,15.0,True,7.0
issdm-6,with,interbench_video_none,17.0,True,6.0
issdm-6,with,interbench_audio_video,15.0,True,6.0
issdm-6,with,interbench_audio_x,15.0,True,7.0
issdm-6,with,interbench_video_x,14.0,True,7.0
issdm-6,with,interbench_audio_burn,15.0,True,7.0
issdm-6,with,interbench_video_burn,14.0,True,6.0
issdm-6,with,interbench_audio_write,382.0,True,13.0
issdm-6,with,interbench_video_write,206.0,True,8.0
issdm-6,with,interbench_audio_read,25.0,True,14.0
issdm-6,with,interbench_video_read,35.0,True,12.0
issdm-6,with,interbench_audio_compile,80.0,True,14.0
issdm-6,with,interbench_video_compile,36.0,True,9.0
t2.micro,with,interbench_audio_none,15.0,True,11.0
t2.micro,with,interbench_video_none,17.0,True,5.0
t2.micro,with,interbench_audio_video,15.0,True,6.0
t2.micro,with,interbench_audio_x,15.0,True,10.0
t2.micro,with,interbench_video_x,14.0,True,4.0
t2.micro,with,interbench_audio_burn,15.0,True,9.0
t2.micro,with,interbench_video_burn,14.0,True,4.0
t2.micro,with,interbench_audio_write,382.0,True,9.0
t2.micro,with,interbench_video_write,206.0,True,6.0
t2.micro,with,interbench_audio_read,25.0,True,9.0
t2.micro,with,interbench_video_read,35.0,True,5.0
t2.micro,with,interbench_audio_compile,80.0,True,9.0
t2.micro,with,interbench_video_compile,36.0,True,6.0
issdm-6,with,nbench_numeric_sort,456.78,False,1045.2
issdm-6,with,nbench_string_sort,64.614,False,166.69
issdm-6,with,nbench_bitfield,1.7666,False,3.4556
issdm-6,with,nbench_fp_emulation,148.7,False,322.31
issdm-6,with,nbench_fourier,155.53,False,18073
issdm-6,with,nbench_assignment,7.4656,False,21.661
issdm-6,with,nbench_idea,1670,False,5248
issdm-6,with,nbench_huffman,476.57,False,1687.8
issdm-6,with,nbench_neural_net,0.23485,False,32.941
issdm-6,with,nbench_lu_decomposition,7.8958,False,1123.9
issdm-6,with,nbench_memory_index,5.929,False,14.505
issdm-6,with,nbench_integer_index,6.710,False,18.290
issdm-6,with,nbench_floating-point_index,0.167,False,22.106
t2.micro,with,nbench_numeric_sort,456.78,False,1424
t2.micro,with,nbench_string_sort,64.614,False,1153
t2.micro,with,nbench_bitfield,1.7666,False,4.9991
t2.micro,with,nbench_fp_emulation,148.7,False,546.16
t2.micro,with,nbench_fourier,155.53,False,41088
t2.micro,with,nbench_assignment,7.4656,False,53.995
t2.micro,with,nbench_idea,1670,False,9996.4
t2.micro,with,nbench_huffman,476.57,False,4665.6
t2.micro,with,nbench_neural_net,0.23485,False,99.331
t2.micro,with,nbench_lu_decomposition,7.8958,False,2608.2
t2.micro,with,nbench_memory_index,5.929,False,42.380
t2.micro,with,nbench_integer_index,6.710,False,34.151
t2.micro,with,nbench_floating-point_index,0.167,False,55.600
issdm-6,with,pybench_builtin_function_calls,566,True,1761
issdm-6,with,pybench_builtin_method_lookup,533,True,1350
issdm-6,with,pybench_compare_floats,539,True,1410
issdm-6,with,pybench_compare_floats_integers,1779,True,1379
issdm-6,with,pybench_compare_integers,420,True,1506
issdm-6,with,pybench_compare_interned_strings,455,True,1529
issdm-6,with,pybench_compare_longs,403,True,1360
issdm-6,with,pybench_compare_strings,424,True,1605
issdm-6,with,pybench_compare_unicode,428,True,1435
issdm-6,with,pybench_complex_python_function_calls,483,True,1760
issdm-6,with,pybench_concat_strings,732,True,2454
issdm-6,with,pybench_concat_unicode,530,True,2190
issdm-6,with,pybench_create_instances,610,True,2198
issdm-6,with,pybench_create_new_instances,489,True,1651
issdm-6,with,pybench_create_strings_with_concat,470,True,1654
issdm-6,with,pybench_create_unicode_with_concat,314,True,1199
issdm-6,with,pybench_dict_creation,380,True,1191
issdm-6,with,pybench_dict_with_float_keys,3437,True,1585
issdm-6,with,pybench_dict_with_integer_keys,473,True,1424
issdm-6,with,pybench_dict_with_string_keys,436,True,1227
issdm-6,with,pybench_for_loops,422,True,1139
issdm-6,with,pybench_if_then_else,306,True,1164
issdm-6,with,pybench_list_slicing,478,True,1871
issdm-6,with,pybench_nested_for_loops,517,True,1449
issdm-6,with,pybench_nested_list_comprehensions,580,True,1741
issdm-6,with,pybench_normal_class_attribute,556,True,1889
issdm-6,with,pybench_normal_instance_attribute,507,True,1311
issdm-6,with,pybench_python_function_calls,434,True,1539
issdm-6,with,pybench_python_method_calls,605,True,2049
issdm-6,with,pybench_recursion,625,True,2071
issdm-6,with,pybench_second_import,552,True,2320
issdm-6,with,pybench_second_package_import,572,True,2489
issdm-6,with,pybench_second_submodule_import,698,True,3181
issdm-6,with,pybench_simple_complex_arithmetic,1513,True,1439
issdm-6,with,pybench_simple_dict_manipulation,469,True,1369
issdm-6,with,pybench_simple_float_arithmetic,862,True,1325
issdm-6,with,pybench_simple_int_float_arithmetic,628,True,1345
issdm-6,with,pybench_simple_integer_arithmetic,629,True,1344
issdm-6,with,pybench_simple_list_comprehensions,497,True,1521
issdm-6,with,pybench_simple_list_manipulation,399,True,1144
issdm-6,with,pybench_simple_long_arithmetic,388,True,1179
issdm-6,with,pybench_small_lists,519,True,1578
issdm-6,with,pybench_small_tuples,467,True,1532
issdm-6,with,pybench_special_class_attribute,555,True,1568
issdm-6,with,pybench_special_instance_attribute,666,True,1820
issdm-6,with,pybench_string_mappings,450,True,1299
issdm-6,with,pybench_string_predicates,495,True,1477
issdm-6,with,pybench_string_slicing,322,True,1204
issdm-6,with,pybench_try_except,427,True,1035
issdm-6,with,pybench_try_finally,447,True,1758
issdm-6,with,pybench_try_raise_except,427,True,1650
issdm-6,with,pybench_tuple_slicing,496,True,1421
issdm-6,with,pybench_unicode_mappings,793,True,1985
issdm-6,with,pybench_unicode_predicates,520,True,1603
issdm-6,with,pybench_unicode_properties,442,True,1647
issdm-6,with,pybench_unicode_slicing,446,True,1674
issdm-6,with,pybench_with_finally,607,True,2249
issdm-6,with,pybench_with_raise_except,869,True,3444
t2.micro,with,pybench_builtin_function_calls,566,True,200
t2.micro,with,pybench_builtin_method_lookup,533,True,139
t2.micro,with,pybench_compare_floats,539,True,139
t2.micro,with,pybench_compare_floats_integers,1779,True,133
t2.micro,with,pybench_compare_integers,420,True,100
t2.micro,with,pybench_compare_interned_strings,455,True,129
t2.micro,with,pybench_compare_longs,403,True,156
t2.micro,with,pybench_compare_strings,424,True,153
t2.micro,with,pybench_compare_unicode,428,True,158
t2.micro,with,pybench_complex_python_function_calls,483,True,186
t2.micro,with,pybench_concat_strings,732,True,317
t2.micro,with,pybench_concat_unicode,530,True,235
t2.micro,with,pybench_create_instances,610,True,212
t2.micro,with,pybench_create_new_instances,489,True,163
t2.micro,with,pybench_create_strings_with_concat,470,True,199
t2.micro,with,pybench_create_unicode_with_concat,314,True,176
t2.micro,with,pybench_dict_creation,380,True,123
t2.micro,with,pybench_dict_with_float_keys,3437,True,190
t2.micro,with,pybench_dict_with_integer_keys,473,True,164
t2.micro,with,pybench_dict_with_string_keys,436,True,122
t2.micro,with,pybench_for_loops,422,True,112
t2.micro,with,pybench_if_then_else,306,True,98
t2.micro,with,pybench_list_slicing,478,True,222
t2.micro,with,pybench_nested_for_loops,517,True,158
t2.micro,with,pybench_nested_list_comprehensions,580,True,190
t2.micro,with,pybench_normal_class_attribute,556,True,153
t2.micro,with,pybench_normal_instance_attribute,507,True,156
t2.micro,with,pybench_python_function_calls,434,True,144
t2.micro,with,pybench_python_method_calls,605,True,225
t2.micro,with,pybench_recursion,625,True,223
t2.micro,with,pybench_second_import,552,True,220
t2.micro,with,pybench_second_package_import,572,True,231
t2.micro,with,pybench_second_submodule_import,698,True,300
t2.micro,with,pybench_simple_complex_arithmetic,1513,True,147
t2.micro,with,pybench_simple_dict_manipulation,469,True,141
t2.micro,with,pybench_simple_float_arithmetic,862,True,130
t2.micro,with,pybench_simple_int_float_arithmetic,628,True,137
t2.micro,with,pybench_simple_integer_arithmetic,629,True,122
t2.micro,with,pybench_simple_list_comprehensions,497,True,176
t2.micro,with,pybench_simple_list_manipulation,399,True,105
t2.micro,with,pybench_simple_long_arithmetic,388,True,129
t2.micro,with,pybench_small_lists,519,True,169
t2.micro,with,pybench_small_tuples,467,True,161
t2.micro,with,pybench_special_class_attribute,555,True,161
t2.micro,with,pybench_special_instance_attribute,666,True,376
t2.micro,with,pybench_string_mappings,450,True,160
t2.micro,with,pybench_string_predicates,495,True,174
t2.micro,with,pybench_string_slicing,322,True,156
t2.micro,with,pybench_try_except,427,True,111
t2.micro,with,pybench_try_finally,447,True,179
t2.micro,with,pybench_try_raise_except,427,True,171
t2.micro,with,pybench_tuple_slicing,496,True,162
t2.micro,with,pybench_unicode_mappings,793,True,265
t2.micro,with,pybench_unicode_predicates,520,True,189
t2.micro,with,pybench_unicode_properties,442,True,190
t2.micro,with,pybench_unicode_slicing,446,True,183
t2.micro,with,pybench_with_finally,607,True,237
t2.micro,with,pybench_with_raise_except,869,True,323
issdm-6,with,ramsmp_integer_writing_1kb_block,6739.58,False,2265.03
issdm-6,with,ramsmp_integer_writing_2kb_block,6258.44,False,2318.98
issdm-6,with,ramsmp_integer_writing_4kb_block,6372.48,False,2319.64
issdm-6,with,ramsmp_integer_writing_8kb_block,6354.70,False,2322.43
issdm-6,with,ramsmp_integer_writing_16kb_block,6380.70,False,2317.81
issdm-6,with,ramsmp_integer_writing_32kb_block,6397.46,False,2262.72
issdm-6,with,ramsmp_integer_writing_64kb_block,6401.04,False,2260.00
issdm-6,with,ramsmp_integer_writing_128kb_block,6340.53,False,568.86
issdm-6,with,ramsmp_integer_writing_256kb_block,6284.87,False,565.09
issdm-6,with,ramsmp_integer_writing_512kb_block,6201.42,False,557.84
issdm-6,with,ramsmp_integer_writing_1024kb_block,5364.05,False,235.32
issdm-6,with,ramsmp_integer_writing_2048kb_block,5071.37,False,163.64
issdm-6,with,ramsmp_integer_writing_4096kb_block,5070.03,False,168.08
issdm-6,with,ramsmp_integer_writing_8192kb_block,5041.10,False,173.88
issdm-6,with,ramsmp_integer_writing_16384kb_block,5062.62,False,176.72
issdm-6,with,ramsmp_integer_writing_32768kb_block,5050.68,False,177.50
issdm-6,with,ramsmp_integer_reading_1kb_block,2022.82,False,2262.36
issdm-6,with,ramsmp_integer_reading_2kb_block,2030.85,False,2260.16
issdm-6,with,ramsmp_integer_reading_4kb_block,2034.96,False,2317.53
issdm-6,with,ramsmp_integer_reading_8kb_block,2032.86,False,2259.59
issdm-6,with,ramsmp_integer_reading_16kb_block,2028.21,False,2260.15
issdm-6,with,ramsmp_integer_reading_32kb_block,1825.49,False,2261.37
issdm-6,with,ramsmp_integer_reading_64kb_block,1357.47,False,2259.12
issdm-6,with,ramsmp_integer_reading_128kb_block,1354.29,False,580.27
issdm-6,with,ramsmp_integer_reading_256kb_block,1153.53,False,580.33
issdm-6,with,ramsmp_integer_reading_512kb_block,886.98,False,576.44
issdm-6,with,ramsmp_integer_reading_1024kb_block,714.80,False,362.49
issdm-6,with,ramsmp_integer_reading_2048kb_block,676.96,False,221.94
issdm-6,with,ramsmp_integer_reading_4096kb_block,677.84,False,222.55
issdm-6,with,ramsmp_integer_reading_8192kb_block,678.26,False,223.66
issdm-6,with,ramsmp_integer_reading_16384kb_block,678.26,False,223.14
issdm-6,with,ramsmp_integer_reading_32768kb_block,678.53,False,223.68
issdm-6,with,ramsmp_integer_copy,1304.27,False,178.96
issdm-6,with,ramsmp_integer_scale,889.15,False,179.89
issdm-6,with,ramsmp_integer_add,1074.81,False,177.72
issdm-6,with,ramsmp_integer_triad,889.58,False,172.84
issdm-6,with,ramsmp_fl-point_writing_1kb_block,6746.64,False,1167.12
issdm-6,with,ramsmp_fl-point_writing_2kb_block,6250.06,False,1160.66
issdm-6,with,ramsmp_fl-point_writing_4kb_block,6329.50,False,1160.29
issdm-6,with,ramsmp_fl-point_writing_8kb_block,6359.04,False,1175.55
issdm-6,with,ramsmp_fl-point_writing_16kb_block,6395.65,False,1159.68
issdm-6,with,ramsmp_fl-point_writing_32kb_block,6398.39,False,1160.34
issdm-6,with,ramsmp_fl-point_writing_64kb_block,6405.93,False,1160.39
issdm-6,with,ramsmp_fl-point_writing_128kb_block,6344.77,False,572.41
issdm-6,with,ramsmp_fl-point_writing_256kb_block,6287.62,False,572.51
issdm-6,with,ramsmp_fl-point_writing_512kb_block,6252.38,False,568.80
issdm-6,with,ramsmp_fl-point_writing_1024kb_block,5275.28,False,278.89
issdm-6,with,ramsmp_fl-point_writing_2048kb_block,5069.86,False,163.30
issdm-6,with,ramsmp_fl-point_writing_4096kb_block,5071.63,False,167.43
issdm-6,with,ramsmp_fl-point_writing_8192kb_block,5066.69,False,172.82
issdm-6,with,ramsmp_fl-point_writing_16384kb_block,5062.19,False,175.68
issdm-6,with,ramsmp_fl-point_writing_32768kb_block,5051.49,False,176.73
issdm-6,with,ramsmp_fl-point_reading_1kb_block,2022.72,False,1741.80
issdm-6,with,ramsmp_fl-point_reading_2kb_block,2030.82,False,1717.76
issdm-6,with,ramsmp_fl-point_reading_4kb_block,2034.85,False,1716.85
issdm-6,with,ramsmp_fl-point_reading_8kb_block,2032.79,False,1718.42
issdm-6,with,ramsmp_fl-point_reading_16kb_block,2035.83,False,1684.84
issdm-6,with,ramsmp_fl-point_reading_32kb_block,1839.15,False,1716.40
issdm-6,with,ramsmp_fl-point_reading_64kb_block,1362.23,False,1717.27
issdm-6,with,ramsmp_fl-point_reading_128kb_block,1359.35,False,645.86
issdm-6,with,ramsmp_fl-point_reading_256kb_block,1353.79,False,650.72
issdm-6,with,ramsmp_fl-point_reading_512kb_block,966.63,False,645.95
issdm-6,with,ramsmp_fl-point_reading_1024kb_block,710.34,False,304.58
issdm-6,with,ramsmp_fl-point_reading_2048kb_block,680.64,False,218.01
issdm-6,with,ramsmp_fl-point_reading_4096kb_block,681.38,False,219.16
issdm-6,with,ramsmp_fl-point_reading_8192kb_block,681.75,False,220.23
issdm-6,with,ramsmp_fl-point_reading_16384kb_block,681.81,False,220.80
issdm-6,with,ramsmp_fl-point_reading_32768kb_block,682.03,False,221.35
issdm-6,with,ramsmp_fl-point_copy,1308.71,False,178.40
issdm-6,with,ramsmp_fl-point_scale,94.24,False,177.30
issdm-6,with,ramsmp_fl-point_add,133.08,False,185.53
issdm-6,with,ramsmp_fl-point_triad,70.92,False,182.12
t2.micro,with,ramsmp_integer_writing_1kb_block,6739.58,False,5801.88
t2.micro,with,ramsmp_integer_writing_2kb_block,6258.44,False,5400.99
t2.micro,with,ramsmp_integer_writing_4kb_block,6372.48,False,5662.70
t2.micro,with,ramsmp_integer_writing_8kb_block,6354.70,False,5665.93
t2.micro,with,ramsmp_integer_writing_16kb_block,6380.70,False,5394.63
t2.micro,with,ramsmp_integer_writing_32kb_block,6397.46,False,5390.83
t2.micro,with,ramsmp_integer_writing_64kb_block,6401.04,False,4994.43
t2.micro,with,ramsmp_integer_writing_128kb_block,6340.53,False,4793.08
t2.micro,with,ramsmp_integer_writing_256kb_block,6284.87,False,4748.69
t2.micro,with,ramsmp_integer_writing_512kb_block,6201.42,False,4128.31
t2.micro,with,ramsmp_integer_writing_1024kb_block,5364.05,False,4275.47
t2.micro,with,ramsmp_integer_writing_2048kb_block,5071.37,False,4280.47
t2.micro,with,ramsmp_integer_writing_4096kb_block,5070.03,False,4115.36
t2.micro,with,ramsmp_integer_writing_8192kb_block,5041.10,False,4074.45
t2.micro,with,ramsmp_integer_writing_16384kb_block,5062.62,False,3198.71
t2.micro,with,ramsmp_integer_writing_32768kb_block,5050.68,False,1649.66
t2.micro,with,ramsmp_integer_reading_1kb_block,2022.82,False,12962.32
t2.micro,with,ramsmp_integer_reading_2kb_block,2030.85,False,10825.02
t2.micro,with,ramsmp_integer_reading_4kb_block,2034.96,False,10751.22
t2.micro,with,ramsmp_integer_reading_8kb_block,2032.86,False,10822.74
t2.micro,with,ramsmp_integer_reading_16kb_block,2028.21,False,10812.25
t2.micro,with,ramsmp_integer_reading_32kb_block,1825.49,False,10531.53
t2.micro,with,ramsmp_integer_reading_64kb_block,1357.47,False,7834.63
t2.micro,with,ramsmp_integer_reading_128kb_block,1354.29,False,7194.86
t2.micro,with,ramsmp_integer_reading_256kb_block,1153.53,False,6648.89
t2.micro,with,ramsmp_integer_reading_512kb_block,886.98,False,6522.47
t2.micro,with,ramsmp_integer_reading_1024kb_block,714.80,False,6141.68
t2.micro,with,ramsmp_integer_reading_2048kb_block,676.96,False,6127.88
t2.micro,with,ramsmp_integer_reading_4096kb_block,677.84,False,6188.28
t2.micro,with,ramsmp_integer_reading_8192kb_block,678.26,False,5714.21
t2.micro,with,ramsmp_integer_reading_16384kb_block,678.26,False,5307.46
t2.micro,with,ramsmp_integer_reading_32768kb_block,678.53,False,1795.23
t2.micro,with,ramsmp_integer_copy,1304.27,False,2093.21
t2.micro,with,ramsmp_integer_scale,889.15,False,2098.31
t2.micro,with,ramsmp_integer_add,1074.81,False,2093.90
t2.micro,with,ramsmp_integer_triad,889.58,False,2131.05
t2.micro,with,ramsmp_fl-point_writing_1kb_block,6746.64,False,5880.50
t2.micro,with,ramsmp_fl-point_writing_2kb_block,6250.06,False,5398.35
t2.micro,with,ramsmp_fl-point_writing_4kb_block,6329.50,False,5663.33
t2.micro,with,ramsmp_fl-point_writing_8kb_block,6359.04,False,5665.12
t2.micro,with,ramsmp_fl-point_writing_16kb_block,6395.65,False,5393.17
t2.micro,with,ramsmp_fl-point_writing_32kb_block,6398.39,False,5372.00
t2.micro,with,ramsmp_fl-point_writing_64kb_block,6405.93,False,4791.53
t2.micro,with,ramsmp_fl-point_writing_128kb_block,6344.77,False,5010.42
t2.micro,with,ramsmp_fl-point_writing_256kb_block,6287.62,False,4540.80
t2.micro,with,ramsmp_fl-point_writing_512kb_block,6252.38,False,4284.56
t2.micro,with,ramsmp_fl-point_writing_1024kb_block,5275.28,False,4291.83
t2.micro,with,ramsmp_fl-point_writing_2048kb_block,5069.86,False,4287.61
t2.micro,with,ramsmp_fl-point_writing_4096kb_block,5071.63,False,4124.01
t2.micro,with,ramsmp_fl-point_writing_8192kb_block,5066.69,False,4092.72
t2.micro,with,ramsmp_fl-point_writing_16384kb_block,5062.19,False,3880.37
t2.micro,with,ramsmp_fl-point_writing_32768kb_block,5051.49,False,1684.51
t2.micro,with,ramsmp_fl-point_reading_1kb_block,2022.72,False,11822.14
t2.micro,with,ramsmp_fl-point_reading_2kb_block,2030.82,False,10746.66
t2.micro,with,ramsmp_fl-point_reading_4kb_block,2034.85,False,10760.26
t2.micro,with,ramsmp_fl-point_reading_8kb_block,2032.79,False,10724.56
t2.micro,with,ramsmp_fl-point_reading_16kb_block,2035.83,False,10752.23
t2.micro,with,ramsmp_fl-point_reading_32kb_block,1839.15,False,10758.30
t2.micro,with,ramsmp_fl-point_reading_64kb_block,1362.23,False,8519.94
t2.micro,with,ramsmp_fl-point_reading_128kb_block,1359.35,False,7869.86
t2.micro,with,ramsmp_fl-point_reading_256kb_block,1353.79,False,7119.40
t2.micro,with,ramsmp_fl-point_reading_512kb_block,966.63,False,6145.22
t2.micro,with,ramsmp_fl-point_reading_1024kb_block,710.34,False,6136.59
t2.micro,with,ramsmp_fl-point_reading_2048kb_block,680.64,False,6149.75
t2.micro,with,ramsmp_fl-point_reading_4096kb_block,681.38,False,6185.09
t2.micro,with,ramsmp_fl-point_reading_8192kb_block,681.75,False,6126.03
t2.micro,with,ramsmp_fl-point_reading_16384kb_block,681.81,False,5733.63
t2.micro,with,ramsmp_fl-point_reading_32768kb_block,682.03,False,1874.59
t2.micro,with,ramsmp_fl-point_copy,1308.71,False,1611.14
t2.micro,with,ramsmp_fl-point_scale,94.24,False,1593.19
t2.micro,with,ramsmp_fl-point_add,133.08,False,1923.06
t2.micro,with,ramsmp_fl-point_triad,70.92,False,1935.72
issdm-6,with,stockfish-7,241111,False,67763
t2.micro,with,stockfish-7,241111,False,423835
